query,query_group,mode,rank,image_id,file_path,visual_relevance,visual_notes,visible_main_object,style_match,failure_reason,weak_relevance,ai_description,keywords
warm cinematic landscape,style_semantic,qdrant_semantic,1,mhePnduuYT0,data\unsplash-lite\images\mhePnduuYT0.jpg,1,"Partial visual match. Mostly landscape imagery, but many results are cool or dark rather than warm/cinematic.",landscape,partial,style_mismatch,1,snow covered mountain under cloudy sky during daytime,"[""glacier"", ""ground"", ""ice"", ""landscape"", ""mountain"", ""mountain range"", ""nature"", ""outdoors"", ""photo"", ""photography"", ""piste"", ""scenery"", ""slope"", ""snow"", ""sport"", ""sports"", ""wilderness""]"
warm cinematic landscape,style_semantic,qdrant_semantic,2,h-0eV_evY1U,data\unsplash-lite\images\h-0eV_evY1U.jpg,1,"Partial visual match. Mostly landscape imagery, but many results are cool or dark rather than warm/cinematic.",landscape,partial,style_mismatch,2,snow covered mountain,"[""astronomy"", ""dawn"", ""dusk"", ""full moon"", ""glacier"", ""ice"", ""moon"", ""mountain"", ""mountain range"", ""nature"", ""night"", ""outdoors"", ""outer space"", ""peak"", ""plateau"", ""red sky"", ""sky"", ""snow"", ""space"", ""sunset"", ""universe""]"
warm cinematic landscape,style_semantic,qdrant_semantic,3,Qkr7fS-_P4M,data\unsplash-lite\images\Qkr7fS-_P4M.jpg,1,"Partial visual match. Mostly landscape imagery, but many results are cool or dark rather than warm/cinematic.",landscape,partial,style_mismatch,1,mountain peak,"[""abies"", ""adventure"", ""art"", ""basin"", ""building"", ""cliff"", ""countryside"", ""dirt road"", ""field"", ""fir"", ""freeway"", ""gliding"", ""grass"", ""grassland"", ""gravel"", ""highway"", ""hiking"", ""hill"", ""housing"", ""ice"", ""landscape"", ""leisure activities"", ""mountain"", ""mountain range"", ""nature"", ""outdoors"", ""painting"", ""peak"", ""plant"", ""plateau"", ""promontory"", ""road"", ""scenery"", ""slope"", ""tree"", ""valley"", ""wilderness""]"
warm cinematic landscape,style_semantic,qdrant_semantic,4,GwTS3bbRVJM,data\unsplash-lite\images\GwTS3bbRVJM.jpg,1,"Partial visual match. Mostly landscape imagery, but many results are cool or dark rather than warm/cinematic.",landscape,partial,style_mismatch,1,green trees on mountain under blue sky during daytime,"[""abies"", ""adventure"", ""architecture"", ""astronomy"", ""building"", ""cliff"", ""countryside"", ""dome"", ""fir"", ""glacier"", ""ice"", ""landscape"", ""leisure activities"", ""moon"", ""mountain"", ""mountain range"", ""nature"", ""night"", ""outdoors"", ""outer space"", ""peak"", ""plant"", ""plateau"", ""scenery"", ""slope"", ""snow"", ""space"", ""tree"", ""universe"", ""valley"", ""wilderness""]"
warm cinematic landscape,style_semantic,qdrant_semantic,5,gqYOrTAszQc,data\unsplash-lite\images\gqYOrTAszQc.jpg,1,"Partial visual match. Mostly landscape imagery, but many results are cool or dark rather than warm/cinematic.",landscape,partial,style_mismatch,1,rock formation in front of beachline,"[""aerial view"", ""azure sky"", ""backgrounds"", ""bay"", ""beach"", ""cliff"", ""cloud"", ""coast"", ""land"", ""landscape"", ""mesa"", ""mountain"", ""nature"", ""ocean"", ""outdoors"", ""panoramic"", ""plateau"", ""promontory"", ""river"", ""sand"", ""scenery"", ""sea"", ""sea waves"", ""shoreline"", ""sky"", ""wallpapers"", ""water"", ""waterfall""]"
warm cinematic landscape,style_semantic,qdrant_semantic,6,kzA0vrx996c,data\unsplash-lite\images\kzA0vrx996c.jpg,1,"Partial visual match. Mostly landscape imagery, but many results are cool or dark rather than warm/cinematic.",landscape,partial,style_mismatch,1,man sits on the mountain facing landscape view,"[""abies"", ""animal"", ""archaeology"", ""architecture"", ""bird"", ""bison"", ""building"", ""bull"", ""bunker"", ""cliff"", ""conifer"", ""countryside"", ""crater"", ""deer"", ""dirt road"", ""donner"", ""elk"", ""field"", ""fir"", ""fog"", ""forest"", ""freeway"", ""grassland"", ""gravel"", ""hiking"", ""house"", ""housing"", ""human"", ""hut"", ""lake"", ""land"", ""landscape"", ""landslide"", ""mammal"", ""mist"", ""mountain"", ""nature"", ""outdoors"", ""person"", ""pine"", ""plant"", ""plateau"", ""road"", ""rural"", ""scenery"", ""slate"", ""slope"", ""spruce"", ""tree"", ""trees"", ""volcano"", ""vulture"", ""water"", ""weather"", ""wildlife""]"
warm cinematic landscape,style_semantic,qdrant_semantic,7,Hr8gz4OE-Cs,data\unsplash-lite\images\Hr8gz4OE-Cs.jpg,1,"Partial visual match. Mostly landscape imagery, but many results are cool or dark rather than warm/cinematic.",landscape,partial,style_mismatch,1,silhouette of trees during nighttime,"[""animal"", ""astronomy"", ""flock"", ""fog"", ""foggy"", ""full moon"", ""mist"", ""misty"", ""moon"", ""nature"", ""night"", ""outdoors"", ""outer space"", ""ridge"", ""space"", ""treeline"", ""trees"", ""universe"", ""weather""]"
warm cinematic landscape,style_semantic,qdrant_semantic,8,oSbWA1GCEWE,data\unsplash-lite\images\oSbWA1GCEWE.jpg,2,"Full visual match. Mostly landscape imagery, but many results are cool or dark rather than warm/cinematic.",landscape,yes,good_match,1,person walking on brown field during daytime,"[""adventure"", ""aerial view"", ""america"", ""architecture"", ""arizona"", ""art"", ""building"", ""bunker"", ""canyon"", ""cliff"", ""countryside"", ""desert"", ""far out"", ""grand"", ""grand canyon"", ""grandeur"", ""ground"", ""hike"", ""hiking"", ""housing"", ""human"", ""land"", ""landscape"", ""leisure activities"", ""lost"", ""man hiking"", ""massive"", ""mesa"", ""midwest"", ""monastery"", ""mountain"", ""mountain range"", ""nature"", ""outdoors"", ""painting"", ""panoramic"", ""peak"", ""person"", ""plateau"", ""scenery"", ""soil"", ""sunny"", ""tundra"", ""united states"", ""usa"", ""valley"", ""wilderness""]"
warm cinematic landscape,style_semantic,qdrant_semantic,9,bjcZyDeaA8o,data\unsplash-lite\images\bjcZyDeaA8o.jpg,2,"Full visual match. Mostly landscape imagery, but many results are cool or dark rather than warm/cinematic.",landscape,yes,good_match,1,brown and gray rock formation beside body of water during daytime,"[""abies"", ""adventure"", ""aerial view"", ""aircraft"", ""airliner"", ""airplane"", ""backgrounds"", ""basin"", ""bonfire"", ""cliff"", ""coast"", ""fir"", ""fire"", ""flame"", ""glacier"", ""hiking"", ""ice"", ""land"", ""landscape"", ""leisure activities"", ""mountain"", ""mountain range"", ""nature"", ""ocean"", ""outdoors"", ""peak"", ""plant"", ""plateau"", ""promontory"", ""rock"", ""scenery"", ""sea"", ""shoreline"", ""slate"", ""slope"", ""snow"", ""transportation"", ""tree"", ""vehicle"", ""wallpapers"", ""water"", ""wilderness""]"
warm cinematic landscape,style_semantic,qdrant_semantic,10,S95EQl9CzNE,data\unsplash-lite\images\S95EQl9CzNE.jpg,1,"Partial visual match. Mostly landscape imagery, but many results are cool or dark rather than warm/cinematic.",landscape,partial,style_mismatch,2,white and blue boat on water near mountain during daytime,"[""adventure"", ""aerial view"", ""animal"", ""aquatic"", ""basin"", ""bay"", ""beach"", ""boat"", ""cave"", ""cliff"", ""coast"", ""cove"", ""dawn"", ""dusk"", ""glacier"", ""gliding"", ""ice"", ""island"", ""lagoon"", ""lake"", ""land"", ""landscape"", ""leisure activities"", ""mesa"", ""mountain"", ""mountain range"", ""nature"", ""ocean"", ""outdoors"", ""panoramic"", ""peninsula"", ""plateau"", ""promontory"", ""red sky"", ""reef"", ""scenery"", ""sea"", ""sea life"", ""shoreline"", ""sky"", ""snow"", ""sunlight"", ""sunset"", ""transportation"", ""vehicle"", ""water""]"
