query,query_group,mode,rank,image_id,score,file_path,photo_url,ai_description,keywords,brightness,contrast,saturation,warmth,detected_objects,weak_relevance,keyword_filter,rerank
warm cinematic landscape,style_semantic,qdrant_semantic,1,mhePnduuYT0,0.29583376532444794,data\unsplash-lite\images\mhePnduuYT0.jpg,https://unsplash.com/photos/mhePnduuYT0,snow covered mountain under cloudy sky during daytime,"[""glacier"", ""ground"", ""ice"", ""landscape"", ""mountain"", ""mountain range"", ""nature"", ""outdoors"", ""photo"", ""photography"", ""piste"", ""scenery"", ""slope"", ""snow"", ""sport"", ""sports"", ""wilderness""]",0.2050840369417729,0.18285389466690818,0.21049477419294713,0.4991623681316633,[],1,,False
warm cinematic landscape,style_semantic,qdrant_semantic,2,h-0eV_evY1U,0.2884935271867436,data\unsplash-lite\images\h-0eV_evY1U.jpg,https://unsplash.com/photos/h-0eV_evY1U,snow covered mountain,"[""astronomy"", ""dawn"", ""dusk"", ""full moon"", ""glacier"", ""ice"", ""moon"", ""mountain"", ""mountain range"", ""nature"", ""night"", ""outdoors"", ""outer space"", ""peak"", ""plateau"", ""red sky"", ""sky"", ""snow"", ""space"", ""sunset"", ""universe""]",0.1541650494508654,0.12473299930362237,0.46742909407164623,0.480415190957248,[],2,,False
warm cinematic landscape,style_semantic,qdrant_semantic,3,Qkr7fS-_P4M,0.2796420464728977,data\unsplash-lite\images\Qkr7fS-_P4M.jpg,https://unsplash.com/photos/Qkr7fS-_P4M,mountain peak,"[""abies"", ""adventure"", ""art"", ""basin"", ""building"", ""cliff"", ""countryside"", ""dirt road"", ""field"", ""fir"", ""freeway"", ""gliding"", ""grass"", ""grassland"", ""gravel"", ""highway"", ""hiking"", ""hill"", ""housing"", ""ice"", ""landscape"", ""leisure activities"", ""mountain"", ""mountain range"", ""nature"", ""outdoors"", ""painting"", ""peak"", ""plant"", ""plateau"", ""promontory"", ""road"", ""scenery"", ""slope"", ""tree"", ""valley"", ""wilderness""]",0.33150903041066687,0.2014076429501006,0.4544019811293658,0.46315517051547184,[],1,,False
warm cinematic landscape,style_semantic,qdrant_semantic,4,GwTS3bbRVJM,0.2796342670327936,data\unsplash-lite\images\GwTS3bbRVJM.jpg,https://unsplash.com/photos/GwTS3bbRVJM,green trees on mountain under blue sky during daytime,"[""abies"", ""adventure"", ""architecture"", ""astronomy"", ""building"", ""cliff"", ""countryside"", ""dome"", ""fir"", ""glacier"", ""ice"", ""landscape"", ""leisure activities"", ""moon"", ""mountain"", ""mountain range"", ""nature"", ""night"", ""outdoors"", ""outer space"", ""peak"", ""plant"", ""plateau"", ""scenery"", ""slope"", ""snow"", ""space"", ""tree"", ""universe"", ""valley"", ""wilderness""]",0.24846249946092808,0.23339231620683873,0.7691733511586453,0.40117625495946185,[],1,,False
warm cinematic landscape,style_semantic,qdrant_semantic,5,gqYOrTAszQc,0.2781558915768464,data\unsplash-lite\images\gqYOrTAszQc.jpg,https://unsplash.com/photos/gqYOrTAszQc,rock formation in front of beachline,"[""aerial view"", ""azure sky"", ""backgrounds"", ""bay"", ""beach"", ""cliff"", ""cloud"", ""coast"", ""land"", ""landscape"", ""mesa"", ""mountain"", ""nature"", ""ocean"", ""outdoors"", ""panoramic"", ""plateau"", ""promontory"", ""river"", ""sand"", ""scenery"", ""sea"", ""sea waves"", ""shoreline"", ""sky"", ""wallpapers"", ""water"", ""waterfall""]",0.5859211441738154,0.277827174970182,0.11443982758033769,0.4657471766918573,[],1,,False
warm cinematic landscape,style_semantic,qdrant_semantic,6,kzA0vrx996c,0.27806989896690165,data\unsplash-lite\images\kzA0vrx996c.jpg,https://unsplash.com/photos/kzA0vrx996c,man sits on the mountain facing landscape view,"[""abies"", ""animal"", ""archaeology"", ""architecture"", ""bird"", ""bison"", ""building"", ""bull"", ""bunker"", ""cliff"", ""conifer"", ""countryside"", ""crater"", ""deer"", ""dirt road"", ""donner"", ""elk"", ""field"", ""fir"", ""fog"", ""forest"", ""freeway"", ""grassland"", ""gravel"", ""hiking"", ""house"", ""housing"", ""human"", ""hut"", ""lake"", ""land"", ""landscape"", ""landslide"", ""mammal"", ""mist"", ""mountain"", ""nature"", ""outdoors"", ""person"", ""pine"", ""plant"", ""plateau"", ""road"", ""rural"", ""scenery"", ""slate"", ""slope"", ""spruce"", ""tree"", ""trees"", ""volcano"", ""vulture"", ""water"", ""weather"", ""wildlife""]",0.4570844833534587,0.299755133193755,0.16095890564803633,0.49040527203366685,[],1,,False
warm cinematic landscape,style_semantic,qdrant_semantic,7,Hr8gz4OE-Cs,0.2774912559724094,data\unsplash-lite\images\Hr8gz4OE-Cs.jpg,https://unsplash.com/photos/Hr8gz4OE-Cs,silhouette of trees during nighttime,"[""animal"", ""astronomy"", ""flock"", ""fog"", ""foggy"", ""full moon"", ""mist"", ""misty"", ""moon"", ""nature"", ""night"", ""outdoors"", ""outer space"", ""ridge"", ""space"", ""treeline"", ""trees"", ""universe"", ""weather""]",0.19425560455120464,0.12511106005775352,0.5452302016847794,0.4333861062295153,[],1,,False
warm cinematic landscape,style_semantic,qdrant_semantic,8,oSbWA1GCEWE,0.27567525134566384,data\unsplash-lite\images\oSbWA1GCEWE.jpg,https://unsplash.com/photos/oSbWA1GCEWE,person walking on brown field during daytime,"[""adventure"", ""aerial view"", ""america"", ""architecture"", ""arizona"", ""art"", ""building"", ""bunker"", ""canyon"", ""cliff"", ""countryside"", ""desert"", ""far out"", ""grand"", ""grand canyon"", ""grandeur"", ""ground"", ""hike"", ""hiking"", ""housing"", ""human"", ""land"", ""landscape"", ""leisure activities"", ""lost"", ""man hiking"", ""massive"", ""mesa"", ""midwest"", ""monastery"", ""mountain"", ""mountain range"", ""nature"", ""outdoors"", ""painting"", ""panoramic"", ""peak"", ""person"", ""plateau"", ""scenery"", ""soil"", ""sunny"", ""tundra"", ""united states"", ""usa"", ""valley"", ""wilderness""]",0.3437557950232879,0.13294928886268045,0.2422830055775976,0.5055838530885228,[],1,,False
warm cinematic landscape,style_semantic,qdrant_semantic,9,bjcZyDeaA8o,0.27553839559376136,data\unsplash-lite\images\bjcZyDeaA8o.jpg,https://unsplash.com/photos/bjcZyDeaA8o,brown and gray rock formation beside body of water during daytime,"[""abies"", ""adventure"", ""aerial view"", ""aircraft"", ""airliner"", ""airplane"", ""backgrounds"", ""basin"", ""bonfire"", ""cliff"", ""coast"", ""fir"", ""fire"", ""flame"", ""glacier"", ""hiking"", ""ice"", ""land"", ""landscape"", ""leisure activities"", ""mountain"", ""mountain range"", ""nature"", ""ocean"", ""outdoors"", ""peak"", ""plant"", ""plateau"", ""promontory"", ""rock"", ""scenery"", ""sea"", ""shoreline"", ""slate"", ""slope"", ""snow"", ""transportation"", ""tree"", ""vehicle"", ""wallpapers"", ""water"", ""wilderness""]",0.22627108704810048,0.10969506495346801,0.2783675369561887,0.4925031774184283,[],1,,False
warm cinematic landscape,style_semantic,qdrant_semantic,10,S95EQl9CzNE,0.27539710929888084,data\unsplash-lite\images\S95EQl9CzNE.jpg,https://unsplash.com/photos/S95EQl9CzNE,white and blue boat on water near mountain during daytime,"[""adventure"", ""aerial view"", ""animal"", ""aquatic"", ""basin"", ""bay"", ""beach"", ""boat"", ""cave"", ""cliff"", ""coast"", ""cove"", ""dawn"", ""dusk"", ""glacier"", ""gliding"", ""ice"", ""island"", ""lagoon"", ""lake"", ""land"", ""landscape"", ""leisure activities"", ""mesa"", ""mountain"", ""mountain range"", ""nature"", ""ocean"", ""outdoors"", ""panoramic"", ""peninsula"", ""plateau"", ""promontory"", ""red sky"", ""reef"", ""scenery"", ""sea"", ""sea life"", ""shoreline"", ""sky"", ""snow"", ""sunlight"", ""sunset"", ""transportation"", ""vehicle"", ""water""]",0.3035399792241115,0.18961757403531818,0.28480332318474266,0.4700333958046109,[],2,,False
