variant,query_id,query,type,top_k,latency_ms,overlap_at_10,labeled_results_at_10,labeled_precision_at_10,labeled_ndcg_at_10,top1_image_id,top1_score
fp32_512_baseline,Q001,warm cinematic landscape,semantic_text,10,1.5576,1.0,10,0.9,0.914,mhePnduuYT0,0.295834
fp32_512_baseline,Q002,dark moody forest,semantic_text,10,1.4373,1.0,10,1.0,1.0,Hr8gz4OE-Cs,0.325511
fp32_512_baseline,Q003,vibrant summer portrait,semantic_text,10,1.4151,1.0,10,1.0,1.0,EMYWkp-RJiY,0.300331
fp32_512_baseline,Q004,minimal architecture,semantic_text,10,1.5661,1.0,10,1.0,0.9982,yVCBr4ZuOnI,0.301916
fp32_512_baseline,Q005,cold blue mountain scene,semantic_text,10,1.6885,1.0,10,0.8,0.7838,8gBUx7Xmsqo,0.295846
fp32_512_baseline,Q006,food photography with warm light,semantic_text,10,1.5929,1.0,10,0.8,0.6951,IeRX8XZZBzc,0.298987
fp32_512_baseline,Q007,quiet city street at dawn,semantic_text,10,1.4692,1.0,10,1.0,0.913,jQ4KKtB9_n4,0.279442
fp32_512_baseline,Q008,dramatic ocean waves,semantic_text,10,1.4596,1.0,10,1.0,0.9958,s5_rlPwwads,0.319754
fp32_512_baseline,Q009,warm golden hour light,style_text,10,1.5497,1.0,10,1.0,0.9783,pv8jyM-3Ous,0.283038
fp32_512_baseline,Q010,low contrast pastel tones,style_text,10,1.6459,1.0,10,1.0,1.0,JINHNZ9d9Nc,0.28659
fp32_512_baseline,Q011,high contrast black and white,style_text,10,1.7143,1.0,10,1.0,0.9832,QY6RO5kyvvo,0.30622
fp32_512_baseline,Q012,cinematic teal and orange,style_text,10,1.3282,1.0,10,0.8,0.7942,fM2z6_GN8Uk,0.304065
fp32_512_baseline,Q013,soft natural window light,style_text,10,1.8604,1.0,10,1.0,0.9741,A40lD_mDgVo,0.285604
fp32_512_baseline,Q014,dark low key portrait lighting,style_text,10,2.0788,1.0,2,1.0,1.0,q_4pIVaXPEk,0.280238
fp32_512_baseline,Q015,bright airy minimal style,style_text,10,1.2753,1.0,0,0.0,0.0,Y2DQpf4ennA,0.281069
fp32_512_baseline,Q016,saturated colorful street scene,style_text,10,1.7414,1.0,0,0.0,0.0,5IVa9hrd9x4,0.279102
fp32_512_baseline,Q017,person in street photography,object_text,10,1.591,1.0,0,0.0,0.0,qjZzZccbE1E,0.282343
fp32_512_baseline,Q018,dog on beach,object_text,10,1.347,1.0,0,0.0,0.0,53nKeaK402I,0.318674
fp32_512_baseline,Q019,car at night,object_text,10,1.5881,1.0,0,0.0,0.0,pl1Pp-mDzfw,0.323326
