query,query_group,mode,rank,image_id,score,semantic_score,object_score,keyword_score,file_path,keywords,detected_objects,ai_description,latency_ms,weak_relevance
person,object_like,qdrant_semantic,1,nM5uErhbiGw,0.2595510899481957,0.2595510899481957,0.0,0.0,data\unsplash-lite\images\nM5uErhbiGw.jpg,"[""asphalt"", ""banister"", ""boardwalk"", ""bridge"", ""building"", ""city"", ""corridor"", ""dock"", ""flare"", ""fog"", ""handrail"", ""headlight"", ""human"", ""lamp post"", ""led"", ""light"", ""lighting"", ""metropolis"", ""mist"", ""nature"", ""night"", ""ocean"", ""outdoors"", ""pedestrian"", ""person"", ""pier"", ""pollution"", ""port"", ""railing"", ""road"", ""sea"", ""silhouette"", ""smoke"", ""spotlight"", ""stage"", ""tarmac"", ""town"", ""urban"", ""water"", ""waterfront"", ""weather""]","[""person""]",a person walking down a hallway in the dark,141.5558000007877,2
person,object_like,qdrant_semantic,2,kutWwEGYFo4,0.25373566573212464,0.25373566573212464,0.0,0.0,data\unsplash-lite\images\kutWwEGYFo4.jpg,"[""adventure"", ""aerial view"", ""aircraft"", ""astronomy"", ""azure sky"", ""backgrounds"", ""blue"", ""blue water"", ""boat"", ""canoë"", ""dance pose"", ""deep blue"", ""drone"", ""drone photography"", ""drone pilot"", ""drone point of view"", ""finger"", ""flare"", ""flight"", ""gliding"", ""helicopter"", ""horizon"", ""kayak"", ""launch"", ""leisure activities"", ""light"", ""minimalisme"", ""minimaliste"", ""moon"", ""nature"", ""night"", ""ocean"", ""outdoors"", ""outer space"", ""sea"", ""seascape"", ""sky"", ""space"", ""sun"", ""sunlight"", ""sunrise"", ""transportation"", ""universe"", ""vehicle"", ""wallpapers"", ""water""]",[],black and white spider on web,141.5558000007877,0
person,object_like,qdrant_semantic,3,cQPUosG9dQE,0.2530371506912058,0.2530371506912058,0.0,0.0,data\unsplash-lite\images\cQPUosG9dQE.jpg,"[""automobile"", ""building"", ""bus"", ""car"", ""city"", ""duel"", ""flare"", ""flooring"", ""headlight"", ""human"", ""laser"", ""led"", ""light"", ""lighting"", ""metropolis"", ""neon"", ""night life"", ""pedestrian"", ""person"", ""spotlight"", ""stage"", ""street photography"", ""town"", ""transportation"", ""urban"", ""vehicle""]","[""person""]",a man standing in the middle of a street at night,141.5558000007877,2
person,object_like,qdrant_semantic,4,H5llhoZSm9Y,0.2519450686315129,0.2519450686315129,0.0,0.0,data\unsplash-lite\images\H5llhoZSm9Y.jpg,"[""apparel"", ""art"", ""back"", ""black hair"", ""blossom"", ""clothing"", ""coat"", ""dance pose"", ""dress"", ""evening dress"", ""face"", ""fashion"", ""female"", ""finger"", ""floral design"", ""flower"", ""flower arrangement"", ""flower bouquet"", ""geranium"", ""girl"", ""gown"", ""graphics"", ""hair"", ""human"", ""leisure activities"", ""lingerie"", ""long sleeve"", ""musical instrument"", ""musician"", ""neck"", ""overcoat"", ""pattern"", ""people"", ""person"", ""photo"", ""photography"", ""plant"", ""pollen"", ""portrait"", ""railing"", ""robe"", ""silhouette"", ""skin"", ""sleeve"", ""suit"", ""tuxedo"", ""underwear"", ""wall"", ""woman""]","[""person""]",woman in black tank top standing near flowers in grayscale photography,141.5558000007877,2
person,object_like,qdrant_semantic,5,uMiU1Tmbd1Q,0.2516811652984778,0.2516811652984778,0.0,0.0,data\unsplash-lite\images\uMiU1Tmbd1Q.jpg,"[""adventure"", ""back"", ""composite"", ""dance pose"", ""ear"", ""experimental"", ""finger"", ""flare"", ""hair"", ""human"", ""leisure activities"", ""light"", ""moody"", ""night life"", ""person"", ""plant"", ""portrait"", ""shadow"", ""silhouette"", ""spirituality"", ""sydney"", ""tree"", ""tribe""]",[],grayscale photo of man in crew-neck shirt,141.5558000007877,1
person,object_like,qdrant_semantic,6,o47Lif2bfqI,0.2516525570195548,0.2516525570195548,0.0,0.0,data\unsplash-lite\images\o47Lif2bfqI.jpg,"[""apparel"", ""architecture"", ""asphalt"", ""automobile"", ""basement"", ""building"", ""car"", ""car wheel"", ""clothing"", ""coat"", ""concrete"", ""corridor"", ""door"", ""elevator"", ""exercise"", ""fitness"", ""garage"", ""gong"", ""grand theft auto"", ""hangar"", ""indoors"", ""lab"", ""led"", ""light"", ""lighting"", ""machine"", ""musical instrument"", ""office"", ""office building"", ""overcoat"", ""parking"", ""parking lot"", ""road"", ""room"", ""shooting range"", ""sliding door"", ""sport"", ""sports"", ""spotlight"", ""studio"", ""subway"", ""suit"", ""tarmac"", ""terminal"", ""tire"", ""train"", ""train station"", ""transportation"", ""tunnel"", ""vehicle"", ""warehouse"", ""wheel"", ""window"", ""working out""]",[],a dark room with a blue wall and a clock on the wall,141.5558000007877,0
person,object_like,qdrant_semantic,7,Wu98kR6nEAs,0.2506654007843465,0.2506654007843465,0.0,0.0,data\unsplash-lite\images\Wu98kR6nEAs.jpg,"[""asphalt"", ""banister"", ""coin"", ""diwali"", ""flare"", ""handrail"", ""headlight"", ""light"", ""lighting"", ""money"", ""neon"", ""path"", ""photo"", ""photography"", ""road"", ""tarmac"", ""urban"", ""walkway""]",[],a blurry photo of a city street at night,141.5558000007877,0
person,object_like,qdrant_semantic,8,qnjqLoIULZE,0.24997874273075957,0.24997874273075957,0.0,0.0,data\unsplash-lite\images\qnjqLoIULZE.jpg,"[""animal"", ""bird"", ""dove"", ""pigeon""]","[""bird""]",grayscale photo of pigeon on black fence,141.5558000007877,0
person,object_like,qdrant_semantic,9,VylXOtFALIc,0.24936075863828122,0.24936075863828122,0.0,0.0,data\unsplash-lite\images\VylXOtFALIc.jpg,"[""apparel"", ""arcade game machine"", ""asphalt"", ""chef"", ""clothing"", ""coat"", ""female"", ""finger"", ""fireman"", ""hand"", ""human"", ""jacket"", ""lab coat"", ""long sleeve"", ""overcoat"", ""pants"", ""person"", ""shirt"", ""sitting"", ""sleeve"", ""stage"", ""suit"", ""tarmac"", ""text"", ""woman""]","[""cell phone"", ""person""]",woman holding hair,141.5558000007877,2
person,object_like,qdrant_semantic,10,J95m2xJR9YQ,0.24914532690400965,0.24914532690400965,0.0,0.0,data\unsplash-lite\images\J95m2xJR9YQ.jpg,"[""aurora"", ""automobile"", ""blue"", ""car"", ""cars"", ""clean"", ""club"", ""disco"", ""distortion"", ""entertainment"", ""event"", ""face"", ""focus"", ""fun"", ""girl"", ""glitter"", ""hair"", ""hand"", ""hue"", ""human"", ""leisure activities"", ""light"", ""lighting"", ""magic"", ""music"", ""nature"", ""night"", ""night club"", ""night life"", ""outdoors"", ""people"", ""person"", ""portrait"", ""red"", ""snapshot"", ""soft"", ""suit"", ""tones"", ""transportation"", ""tumblr"", ""vehicle""]","[""car"", ""person""]",girl standing near white car on road,141.5558000007877,2
